TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
8559.3223,-978.806,-129.93,-145.973,-126743.75,3307.5,-42498.75,-221.92,-307.04,-266.0
8559.3723,-1024.373,-138.836,-140.422,-83930.0,-9957.5,-23817.5,-215.84,-340.48,-275.12
8559.4223,-978.623,-144.082,-125.538,-59202.5,-5591.25,-16266.25,-220.4,-320.72,-273.6
8559.4723,-971.486,-159.271,-120.414,-44082.5,-8006.25,-18173.75,-200.64,-323.76,-282.72
8559.5223,-950.441,-147.071,-120.475,-15522.5,-2677.5,-14253.75,-214.32,-335.92,-270.56
8559.5723,-1008.94,-139.263,-116.083,-11392.5,-5600.0,-7105.0,-200.64,-340.48,-288.8
8559.6223,-994.91,-123.403,-133.041,-1977.5,1977.5,-1916.25,-205.2,-343.52,-273.6
8559.6723,-985.089,-145.973,-134.322,35.0,-2292.5,-3281.25,-211.28,-326.8,-293.36
8559.7223,-1009.062,-92.659,-123.891,8391.25,2205.0,2721.25,-180.88,-343.52,-285.76
8559.7723,-1016.931,-74.115,-131.028,-7665.0,1951.25,6072.5,-214.32,-328.32,-293.36
8559.8223,-949.709,-93.635,-135.847,-12608.75,5390.0,5057.5,-197.6,-332.88,-294.88
8559.8723,-983.259,-112.667,-117.364,-8365.0,6693.75,1540.0,-224.96,-316.16,-293.36
8559.9223,-977.159,-77.104,-143.106,-9686.25,6343.75,4348.75,-206.72,-317.68,-294.88
8559.9723,-1025.837,-84.973,-135.237,-5398.75,-2196.25,6650.0,-223.44,-320.72,-316.16
8560.0223,-953.857,-84.546,-123.22,-5993.75,3552.5,6527.5,-196.08,-319.2,-300.96
8560.0723,-1059.692,-93.269,-100.162,-8015.0,2397.5,2957.5,-228.0,-313.12,-317.68
8560.1223,-924.272,-86.62,-110.471,-4926.25,7953.75,2336.25,-212.8,-307.04,-308.56
8560.1723,-987.285,-14.335,-116.937,-18173.75,3193.75,1522.5,-220.4,-313.12,-320.72
8560.2223,-954.528,-35.258,-147.803,-30257.5,23817.5,-1435.0,-190.0,-308.56,-325.28
8560.2723,-1035.414,152.256,-177.571,-37852.5,16415.0,-10263.75,-212.8,-304.0,-337.44
8560.3223,-902.434,227.774,-272.975,-168726.25,24307.5,-52491.25,-183.92,-294.88,-358.72
8560.3723,-884.683,302.987,-437.736,-240047.5,10736.25,-70577.5,-182.4,-293.36,-398.24
8560.4223,-911.706,-223.565,-492.514,-282782.5,29050.0,-110958.75,-145.92,-267.52,-436.24
8560.4723,-898.225,-268.4,-453.962,-250355.0,9362.5,-99671.25,-159.6,-250.8,-472.72
8560.5223,-977.952,-431.148,-355.996,-176583.75,-1540.0,-69396.25,-135.28,-215.84,-495.52
8560.5723,-956.175,-330.62,-333.304,-86992.5,9047.5,-39436.25,-145.92,-180.88,-515.28
8560.6223,-974.292,-212.158,-305.244,-44187.5,-1172.5,-5433.75,-133.76,-183.92,-510.72
